title,top1,top10
Invent a phone application,Useful,Useless
"You are lost in the desert, you see behind a dune...",Useful,Useless
"Your partner searches your browser history, he discovers...",Embarrassing,Awesome
"Last-minute dress-up evening, there is only one costume left at the seller",Embarrassing,Awesome
"Hungry as a wolf, you open the fridge and you find...",Yum,Berk
"An animal escaped from the zoo, it's...",Help!,Whatever
You have an appointment today...,Can't wait!,Oh no...
"The Uber Eats courier exchanged your dish with that of a neighbor, he had ordered...",Very good!,Oh no...
Your neighbor discovers a new passion...,Help!,Great!
A registered letter has arrived...,Bad news,Good news
"You forget to brake at the red light, the owner of the car in front of you comes out...",Problematic,No problem
You are stuck in the cellar of...,Nice,Scary
"An asteroid will crash on earth in an hour and destroy humanity, you decide to...",Panic,Stay calm
"Everyone turns into zombies, you decide to...",Assured survival,Victim
"Your house is on fire, you save...",Useful,Useless
Your parents have an announcement to make,Great!,Not again...
"You are invited to the wedding of your cousin, you find yourself at the table of...",Good evening,Fatal boredom
"For Valentine's Day, you offer...",Unlimited budget,Stingy
"At the first meeting, your date quotes your greatest passion...",Love at first sight,You run away
"You fall asleep in the car, when you wake up you are at an unplanned destination...",Best place,Worst place
"You swim in the sea, dive underwater, and find yourself face to face with...",Harmless,Dangerous
"In high school, your teacher announces that you are going on a school trip to...",Amazing!,Can I stay home?
"Someone rings at your door after midnight, you look by the peephole...",You open,You lock the door
You're baby-sitting for the evening, the kids are...,As good as gold,Little devils
Cheating strategy during an exam,Neither seen nor known,Caught red-handed
You go home late after a long day of work. You look in the mirror and discover...,Small insignificant detail,Disaster
What is the name of your rock group with your friends?,Soft,It rocks
"Batman wants to replace Robin to fight evil. Create a new duo ""Batman and...""",Worst duo,Best duo
What does the proverb say in the fortune cookie you just ate?,Very easy to understand,Very hard to understand
"At the end of the movie you're watching, the bad guy dies. How?",An extremely stupid way,An extremely classy way
Your boss announces a change in working conditions. Which?,Worse change,Best change
Your portrait is shown on large posters in the city for an ad. What product?,Degrading,Rewarding
"You are accepted at Hogwarts, the school of wizards. You arrive the first day with your sorcerer's pet. Which?",I'm not proud of it,I show off a maximum
"""John and Elizabeth, walk in the meadow,...,..."" Complete with 2 rhymes.",Less romantic,More romantic
Which guest is responsible for the animation at a wedding?,No way,Amazing
Where could Cap'ten take his lover to dinner?,Least impressive,Most impressive
"Happiness for men is to be sprawled on a sofa, beer in hand, watching...",Little happiness,Great happiness
